street,long,lat,city_id,town_id,neighborhood,postal
Rua Coronel Cirilo Lopes de Morais,,,11,5,Centro,75680-001
Rua São Paulo,,,11,5,Centro,75680-003
Avenida Orozimbo Correa Neto,,,11,5,Centro,75680-005
Rua Rio de Janeiro,,,11,5,Centro,75680-007
Rua Brasília,,,11,5,Centro,75680-009
Rua Goiânia,,,11,5,Centro,75680-011
Praça Gilson Ribeiro de Macedo,,,11,5,Centro,75680-012
Avenida Orcalino Santos,,,11,5,Centro,75680-013
Rua Santos Dumont,,,11,5,Centro,75680-015
Rua Pedro Branco de Souza,,,11,5,Centro,75680-017
Rua Luiz José Pereira,,,11,5,Centro,75680-019
Avenida Coronel Bento de Godoy,,,11,5,Centro,75680-021
Rua do Eucalípto,,,11,5,Centro,75680-023
Alameda Juca de Godoy,,,11,5,Centro,75680-024
Alameda do Contorno,,,11,5,Centro,75680-025
Rua da Península,,,11,5,Centro,75680-027
Rua Capitão João Crisóstomo,,,11,5,Centro,75680-029
Rua do Balneário,,,11,5,Centro,75680-031
Rua Coronel João Batista,,,11,5,Centro,75680-033
Rua Ilídio Lopes de Moraes,,,11,5,Centro,75680-035
Rua Augusto Antônio Guimarães,,,11,5,Centro,75680-037
Praça Mestre Orlando,,,11,5,Centro,75680-039
Rua Major Victor,,,11,5,Centro,75680-041
Rua A,,,11,5,Centro,75680-043
Rua Antônio Coelho de Godoy,,,11,5,Centro,75680-045
Rua Doutor Ciro Palmerston,,,11,5,Centro,75680-047
Rua P,,,11,5,Centro,75680-049
Rua José Borges,,,11,5,Centro,75680-051
Rua Coronel Gonzaga,,,11,5,Centro,75680-053
Rua Antônio Inocêncio,,,11,5,Centro,75680-055
Rua Vera Cruz,,,11,5,Centro,75680-057
Rua Professor Josino Bretas,,,11,5,Centro,75680-059
Rua 14,,,11,5,Centro,75680-061
Rua 13,,,11,5,Centro,75680-063
Praça Monteiro Lobato,,,11,136,Termal,75680-070
Rua Eça de Queiróz,,,11,136,Termal,75680-072
Rua Machado de Assis,,,11,136,Termal,75680-074
Rua Joaquim Nabuco,,,11,136,Termal,75680-076
Rua Afonso Arinos,,,11,136,Termal,75680-078
Avenida Contorno,,,11,136,Termal,75680-080
Avenida Doutor João de Araújo Castro,,,11,136,Termal,75680-081
Rua Antônio Inocêncio,,,11,129,Setor Oeste,75680-090
Rua Dona Zilda Marini,,,11,129,Setor Oeste,75680-092
Rua Antônio Coelho de Godoy,,,11,129,Setor Oeste,75680-094
Rua São Judas Tadeu,,,11,129,Setor Oeste,75680-095
Rua Tenente-Aviador Marini,,,11,129,Setor Oeste,75680-097
Rua São Benedito,,,11,129,Setor Oeste,75680-099
Rua Santo André,,,11,129,Setor Oeste,75680-102
Rua São José,,,11,129,Setor Oeste,75680-104
Rua Santo Antônio,,,11,129,Setor Oeste,75680-107
Rua Santo Agostinho,,,11,129,Setor Oeste,75680-108
Avenida Tiradentes,,,11,3,Bandeirante,75680-110
Avenida Contorno,,,11,3,Bandeirante,75680-112
Avenida Presidente Juscelino Kubitschek,,,11,3,Bandeirante,75680-114
Rua 15 de Novembro,,,11,3,Bandeirante,75680-116
Travessa 13 de Maio,,,11,3,Bandeirante,75680-118
Rua 7 de Setembro,,,11,3,Bandeirante,75680-120
Rua 1,,,11,3,Bandeirante,75680-122
Rua 2,,,11,3,Bandeirante,75680-124
Rua 4,,,11,3,Bandeirante,75680-126
Avenida Presidente Kennedy,,,11,3,Bandeirante,75680-128
Rua D 1,,,11,3,Bandeirante,75680-130
Rua 25 de Dezembro,,,11,3,Bandeirante,75680-132
Travessa 10 de Maio,,,11,3,Bandeirante,75680-134
Rua 5,,,11,3,Bandeirante,75680-136
Rua 3,,,11,3,Bandeirante,75680-138
