name,city_id
Anhanguera,11
Área Rural de Caldas Novas,11
Bandeirante,11
Caldas do Oeste,11
Centro,11
Chácara Roma,11
Chácaras Aconchego,11
Chácaras Itapema,11
Chácaras Primavera,11
Chácaras Vereda das Lajes,11
Cidade das Flores,11
Condomínio Àgua Viva,11
Condomínio Aldeia do Lago Flats e Bangalôs,11
Condomínio Alphaville-6,11
Condomínio Barra do Pirapitinga,11
Condomínio Del Fiori,11
Condomínio Mansões Ilha Bela,11
Condomínio Marinas di Caldas,11
Condomínio Morada do Lago,11
Condomínio Náutico Privê das Caldas,11
Condomínio Residence Rohr,11
Condomínio Residencial dos Girassóis,11
Condomínio Residencial Florença,11
Condomínio Residencial Porto Seguro,11
Condomínio Saint Germain,11
Condomínio San Francisco,11
Condomínio Sonho Meu,11
Conjunto Mara Morena,11
Das Nações,11
Distrito Agroindustrial de Caldas Novas,11
Do Turista,11
Do Turista 2ª Etapa,11
Don Felipe,11
Estância Boa Vista,11
Estância dos Buritis,11
Estância Itaguaí,11
Estância Itaici,11
Estância Itajá,11
Estância Itanhangá,11
Estância Itapuã,11
Estância Jequitimar,11
Estância Tamburi,11
Green Gardens,11
Jardim Belvedere,11
Jardim dos Buritis,11
Jardim dos Ipês,11
Jardim dos Turistas,11
Jardim Esmeralda,11
Jardim França,11
Jardim Hanashiro,11
Jardim Interlago,11
Jardim Jeriquara,11
Jardim Jussara,11
Jardim Metodista,11
Jardim Paraíso,11
Jardim Park Sul,11
Jardim Privê das Caldas,11
Jardim Roma,11
Jardim Serrano,11
Jardim Tangará,11
Jardim Vitória,11
Jardins do Lago,11
Jardins dos Bougainvilles,11
Junquerlândia,11
Mansões Águas Quentes,11
Mansões Aldeia do Lago,11
Mansões Le Village Blanc,11
Mansões Privê do Lago,11
Mansões Recanto da Serra,11
Mansões Solar do Lago,11
Marina Enseada Residence,11
Nossa Senhora de Fátima,11
Noua Condomínio Náutico,11
Nova Vila,11
Parque das Águas Quentes 2,11
Parque das Brisas I,11
Parque das Brisas II,11
Parque das Brisas III,11
Parque das Laranjeiras,11
Parque dos Pomares,11
Parque Flamboyant,11
Parque Jardim Brasil,11
Parque Real,11
Parque Residencial Holliday,11
Parque Thermas Caldas,11
Popular,11
Portal das Águas Quentes,11
Recanto dos Amigos,11
Recanto dos Eucaliptos,11
Recanto Passagem do Lago,11
Residencial Aldeia das Thermas,11
Residencial Alto da Boa Vista,11
Residencial Caminho do Lago,11
Residencial Eldorado Park I,11
Residencial Eldorado Park II,11
Residencial Jardim Brasília,11
Residencial Konesuk,11
Residencial Lafaiete de Godoi,11
Residencial Lago das Aroeiras,11
Residencial Lago das Brisas,11
Residencial Lago de Cristal,11
Residencial Lago dos Ipês,11
Residencial Morada Nobre,11
Residencial Nova Canaã,11
Residencial Ouro Verde,11
Residencial Paraíso,11
Residencial Portal do Lago,11
Residencial Primavera,11
Residencial Recanto das Águas,11
Residencial Recanto das Garças,11
Residencial Recanto de Caldas,11
Residencial Recanto do Lago,11
Residencial Santa Clara,11
Residencial Santa Cruz,11
Residencial Serra Parque,11
Residencial Sonho Meu,11
Residencial Vale da Serra,11
Residencial Vale do Sol,11
Residencial Vera Cruz,11
Residencial Village,11
Santa Efigênia,11
Setor Aeroporto,11
Setor Alto da Boa Vista,11
Setor Bela Vista,11
Setor Itaparica,11
Setor Lago Sul,11
Setor Lagoa Quente,11
Setor Mansões Pirapitinga,11
Setor Oeste,11
Setor Planalto,11
Setor Santo André,11
Setor Serrinha,11
Setor Universitário,11
Sítio de Recreio Pirapitinga,11
Solar de Caldas Novas,11
Termal,11
Thermas Veraneio,11
Vale das Fontes Quentes,11
Vale do Buriti Mirim,11
Vila Matheus,11
Vila Morais,11
Vila Mutirão,11
Vila Olegário Pinto,11
Vila São José,11
